X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
85.883,20.4625,train,2.967438823110047E-4,13.276606777545151,0.4185488191760618
84.0167,20.1342,train,9.606198446160916E-4,94.74960232787299,0.8271450266468774
86.4187,22.0087,train,7.53745089784207E-4,68.67213010341901,0.7477383280220543
86.9135,21.4934,train,5.14912396889907E-4,30.7254880698782,0.6097153336220209
83.9812,21.4669,train,3.637896719809553E-4,18.624467825532268,0.4855919015232001
82.7347,18.8561,train,6.31312654659724E-4,45.45385789877451,0.6844923790857189
77.8908,26.6966,train,5.87858419107619E-4,38.26836555007919,0.6584189354439927
77.503,27.2152,train,4.986648480371325E-4,29.383517530107326,0.5979546533558454
73.88,29.9094,train,3.61340733176523E-4,18.443141954588143,0.4832848453389864
75.8648,25.2138,train,5.569916990355436E-4,34.2645597562803,0.6385995744632817
72.8575,24.8852,train,2.9641506310417197E-4,13.249828123904344,0.41819935610518866
76.161,24.5973,train,4.5383876014903223E-4,25.735308325766102,0.563637287043731
