Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.39524E-4,24.285872103,0.552072502,0.418658443,0.205128205,0
4.41236E-4,24.505928645,0.55347162,0.416730918,0.205128205,0
4.45396E-4,24.771968485,0.556853494,0.414417887,0.205128205,0
4.47769E-4,25.040312197,0.558770904,0.412104857,0.213675214,0
4.49977E-4,25.264710392,0.560547498,0.410177332,0.213675214,0
4.51659E-4,25.535257707,0.561895861,0.407864302,0.213675214,0
4.54129E-4,25.761945505,0.563868526,0.405936777,0.222222222,0
4.56567E-4,26.035191395,0.565807615,0.403623747,0.230769231,0
4.58549E-4,26.264015431,0.567377207,0.401696222,0.230769231,0
4.61866E-4,26.540478588,0.569991471,0.399383192,0.230769231,0
4.64316E-4,26.772305976,0.571911694,0.397455667,0.230769231,0
4.67552E-4,27.005542429,0.574435883,0.395528142,0.230769231,0
4.74692E-4,27.28861453,0.579951943,0.393215112,0.230769231,0
4.7734E-4,27.526774484,0.581979532,0.391287587,0.239316239,0
4.79699E-4,27.765981661,0.583777192,0.389360062,0.239316239,0
4.85428E-4,28.007713586,0.588111927,0.387432537,0.239316239,0
4.8864E-4,28.251119958,0.59052183,0.385505012,0.239316239,0
4.91253E-4,28.545301445,0.592472292,0.383191981,0.239316239,0
4.93378E-4,28.791499777,0.594051603,0.381264456,0.239316239,0
4.94913E-4,29.038729435,0.595189003,0.379336931,0.247863248,0
4.97812E-4,29.286918287,0.59732787,0.377409406,0.256410256,0
5.00014E-4,29.536331458,0.598944803,0.375481881,0.264957265,0
5.04514E-4,29.787468062,0.602228454,0.373554356,0.264957265,0
5.07648E-4,30.040296057,0.604500081,0.371626831,0.264957265,0
5.10185E-4,30.295019799,0.606329628,0.369699306,0.264957265,0
5.12213E-4,30.55059323,0.607785793,0.367771781,0.264957265,0
5.15389E-4,30.756367347,0.610055056,0.366229761,0.273504274,0
5.19807E-4,31.015281524,0.613190331,0.364302236,0.273504274,0
5.20848E-4,31.275435624,0.613925721,0.362374711,0.273504274,0
5.26313E-4,31.537488818,0.617761634,0.360447186,0.273504274,0
5.31163E-4,31.802288282,0.621134233,0.358519661,0.273504274,0
5.33222E-4,32.015423851,0.622556736,0.356977641,0.273504274,0
5.35041E-4,32.282593983,0.623809213,0.355050116,0.273504274,0
5.3852E-4,32.551081499,0.626193079,0.353122591,0.273504274,0
5.40179E-4,32.766895763,0.627324607,0.351580571,0.273504274,0
5.43084E-4,33.037614108,0.62929734,0.349653045,0.290598291,0
5.45942E-4,33.255424301,0.631228728,0.348111025,0.290598291,0
5.48104E-4,33.52908006,0.632682211,0.3461835,0.290598291,0
5.48501E-4,33.803230346,0.632948556,0.344255975,0.299145299,0
5.54108E-4,34.02440374,0.636690155,0.342713955,0.299145299,0
5.57447E-4,34.302477467,0.638899844,0.34078643,0.307692308,0
5.59407E-4,34.525811273,0.640191245,0.33924441,0.307692308,0
5.62296E-4,34.750542674,0.642085728,0.33770239,0.307692308,0
5.64905E-4,35.032254333,0.643787634,0.335774865,0.307692308,0
5.66852E-4,35.258725615,0.645052911,0.334232845,0.307692308,0
5.69297E-4,35.543003662,0.646634919,0.33230532,0.316239316,0
5.71286E-4,35.771077443,0.647916929,0.3307633,0.316239316,0
5.73282E-4,36.000012769,0.649198566,0.32922128,0.316239316,0
5.75025E-4,36.287086398,0.650314404,0.327293755,0.324786325,0
5.76764E-4,36.517419638,0.651423736,0.325751735,0.324786325,0
5.79452E-4,36.806618021,0.653131736,0.32382421,0.333333333,0
5.82542E-4,37.039361992,0.655084678,0.32228219,0.333333333,0
5.82931E-4,37.272473725,0.655329842,0.32074017,0.333333333,0
5.83614E-4,37.50581156,0.65575969,0.31919815,0.333333333,0
5.86607E-4,37.798418043,0.657636821,0.317270625,0.333333333,0
5.87184E-4,38.03320123,0.657997662,0.315728604,0.333333333,0
5.87858E-4,38.268236811,0.658418935,0.314186584,0.333333333,0
5.88624E-4,38.503532306,0.658896323,0.312644564,0.341880342,0
5.89434E-4,38.798146649,0.6594011,0.310717039,0.341880342,0
5.91296E-4,39.034308084,0.660557937,0.309175019,0.341880342,0
5.95894E-4,39.272332187,0.663397573,0.307632999,0.341880342,0
5.97063E-4,39.510938123,0.664115713,0.306090979,0.341880342,0
5.98491E-4,39.750031646,0.664991477,0.304548959,0.35042735,0
5.99279E-4,40.049521086,0.665473172,0.302621434,0.35042735,0
6.01313E-4,40.289683021,0.66671449,0.301079414,0.35042735,0
6.02595E-4,40.530464164,0.667493962,0.299537394,0.35042735,0
6.04044E-4,40.771951363,0.668373143,0.297995374,0.35042735,0
6.05543E-4,41.014083983,0.669280639,0.296453354,0.35042735,0
6.0818E-4,41.257058902,0.670870132,0.294911334,0.35042735,0
6.09084E-4,41.500575501,0.671413173,0.293369314,0.35042735,0
6.12368E-4,41.806127077,0.673379223,0.291441789,0.358974359,0
6.14585E-4,42.051499213,0.674700038,0.289899769,0.367521368,0
6.15727E-4,42.297619296,0.675377715,0.288357749,0.367521368,0
6.16239E-4,42.544038484,0.675681342,0.286815729,0.367521368,0
6.17184E-4,42.790746692,0.676240967,0.285273709,0.376068376,0
6.17393E-4,43.037668784,0.676364519,0.283731689,0.376068376,0
6.18188E-4,43.284809157,0.676834457,0.282189668,0.376068376,0
6.19996E-4,43.53256428,0.67790009,0.280647648,0.376068376,0
6.21359E-4,43.78099625,0.678701578,0.279105628,0.376068376,0
6.22404E-4,44.029853397,0.679314194,0.277563608,0.384615385,0
6.23626E-4,44.279150506,0.680029673,0.276021588,0.384615385,0
6.24725E-4,44.528869766,0.680671465,0.274479568,0.384615385,0
6.27446E-4,44.779360949,0.682255066,0.272937548,0.384615385,0
6.2805E-4,45.030504801,0.682605679,0.271395528,0.384615385,0
6.30624E-4,45.282514218,0.684095114,0.269853508,0.393162393,0
6.31639E-4,45.535055653,0.684680524,0.268311488,0.401709402,0
6.33034E-4,45.787981907,0.685483072,0.266769468,0.401709402,0
6.35691E-4,46.041721376,0.687006545,0.265227448,0.401709402,0
6.37532E-4,46.296544269,0.688057554,0.263685428,0.41025641,0
6.39251E-4,46.551865221,0.689035661,0.262143408,0.418803419,0
6.399E-4,46.807797774,0.689404371,0.260601388,0.427350427,0
6.40845E-4,47.000019207,0.689940543,0.259444873,0.427350427,0
6.42775E-4,47.256802207,0.691031985,0.257902853,0.427350427,0
6.44267E-4,47.514357308,0.691873117,0.256360833,0.427350427,0
6.4589E-4,47.772465046,0.692785444,0.254818813,0.435897436,0
6.46691E-4,48.030956503,0.693234663,0.253276793,0.444444444,0
6.48835E-4,48.290081109,0.694434235,0.251734773,0.444444444,0
6.49079E-4,48.549668149,0.694570501,0.250192753,0.444444444,0
6.50535E-4,48.809728533,0.695381768,0.248650732,0.444444444,0
